17619;1;Ismail;Jamal;Inhaber der Firma Autohaus Bad Homburg;Herrn;;Bad Homburg
29951;0;Kallis Werkstatt;;;;;Offenbach a. Main
28700;4;Karosseriebau Becker GmbH;;;Firma;;Bad Vilbel
27320;4;Karosseriebau Deutinger;;;Firma;;Offenbach
27375;4;Karosseriebau Hanselmann;;;Firma;;Frankfurt
28762;4;Karosseriebau Heinz;;;Firma;;Wehrheim
18550;4;Karosseriebau Mainhausen;;D. Sotiropoulos;Firma;;Mainhausen
24016;9;Karosseriebau Romano Ferrarese GmbH;;;;;Egelsbach
24629;4;Karosseriebau Stadlbauer GmbH;;;Firma;;Oberursel
32668;4;Karosserie-Fachbetrieb Hanselmann;;;Firma;;Frankfurt am Main
31626;4;Lackier- und Karosseriecenter GmbH;;;Firma;;Pfungstadt
14780;0;Lipps Karosserie- und Lackier-Center;;GmbH & Co. KG;Firma;;Mühlheim
20587;4;M + H Karosserie e. K.;;Inhaber Herr Zdravko Meglic;Firma;;Maintal
27525;4;M&S Karosserie & Lack;;;Firma;;Mainz
29948;9;Main Karosserie & Lackzentrum;;;;;Offenbach a. Main
26227;4;Meglic;Zdravko;M+H Karosseriebau e.K.;Firma;;Maintal
8257;0;Meisterbetrieb Jürgen Dettki;;Mechanische Werkstatt - Nähmaschinen;;;Mühlheim
17050;4;Nagel e. K.;;Karosserie- und Lackierzentrum;Firma;;Offenbach
14655;9;Nix GmbH;;;Autohaus;;Frankfurt am Main
16615;4;Noe-Stang;GmbH & Co Autohaus KG;Autohaus Noe-Stang Seligenstadt;Firma;;Seligenstadt
31901;4;PC Autohaus Neu-Isenburg GmbH;;;Firma;;Neu-Isenburg
27157;4;Prennig GmbH & Co.KG;;Karosserie & Lackierzentrum;Firma;;Dreieich
19701;9;SVBO Kfz Sachverständigen Büro Offenbach;;Karosseriebaumeister Giuseppe Zuriago;;;Offenbach
26239;4;Weber;Michel;Autohaus;Firma;;Offenbach
22814;4;Wrona Karosseriezentrum;;;Firma;;Bad Vilbel
